,perc
1539,29.9%
1540,99.3%
1541,0.41 percent
1542,8.75 percent
1543,2.66%
1544,2.4 percent
1545,41.15%
1546,41.2%
1547,129.3%
1548,0.06 percent
1549,52.5 percent
1550,49.9%
1551,0.56%
1552,16.2%
1553,64.9%
1554,37.9%
1555,48.2%
1556,110 percent
1557,81.5 percent
1558,2.242%
1559,0.86 percent
1560,61.9%
1561,55.1 percent
1562,2.33%
1563,32.9%
1564,92.5 percent
1565,5.12%
1566,20.4 percent
1567,6.09 percent
1568,4.31 percent
1569,0.29%
1570,2.4716%
1571,2.525 percent
1572,4.12%
1573,25.3 percent
1574,0.17%
1575,4.56 percent
1576,3.57 percent
1577,0.10 percentage points
1578,0.57 percent
1579,28.95%
1580,4.4 percentage points
1581,0.13 percent
1582,47.1 percent
1583,10.8%
1584,0.22%
1585,78.7 percent
1586,8.33%
1587,4.22%
1588,0.76 percent
1589,72.6 percent
1590,56.6%
1591,6.16 percent
1592,57.8 percent
1593,0.3%
1594,1.24%
1595,48%
1596,28.36%
1597,48.9%
1598,53.5%
1599,7.68 percent
1600,3.11%
1601,1.63 percent
1602,58.3 percent
1603,97.9%
1604,2.8 percent
1605,88 percent
1606,93.2%
1607,23.6%
1608,9.28%
1609,645%
1610,0.40%
1611,23.72%
1612,12.8 percent
1613,51.3 percent
1614,2.505 percent
1615,15.4%
1616,7.56%
1617,0.79 percentage points
1618,706%
1619,2.16%
1620,67%
1621,74.4%
1622,377%
1623,31.0%
1624,283%
1625,11.38 percent
1626,3.58 percent
1627,38.4%
1628,0.315 percent
1629,4.2 percentage points
1630,65.0%
1631,0.88%
1632,0.49%
1633,310 percent
1634,135 percent
1635,1.267%
1636,278%
1637,69.50%
1638,14.63 percent
1639,four percent
1640,3.87 percent
1641,32.3%
1642,39.2%
1643,60.5%
1644,91.9%
1645,2013 percent
1646,8.24%
1647,10.0%
1648,2.09%
1649,12.825 percent
1650,99.0%
1651,53.8 percent
1652,13%
1653,06%
1654,4.89%
1655,2.531 percent
1656,3050%
1657,54 percent
1658,34.6%
1659,8.86%
1660,1.95 percent
1661,78.7%
1662,10.73 percent
1663,9.0%
1664,1.2 percentage points
1665,54.3%
1666,0.0%
1667,156%
1668,2.51%
1669,21%
1670,4.05%
1671,1.54%
1672,20.9%
1673,3.35 percent
1674,26.4%
1675,46 percent
1676,12.0 percent
1677,62.1 percent
1678,16.6%
1679,70.01 percent
1680,5.71 percent
1681,93 percent
1682,12.2 percent
1683,14.0 percent
1684,3.06%
1685,9.88%
1686,0.939 percent
1687,2.0 percentage points
1688,18 percent
